Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14132,Ghana Partnerships Beyond Aid Programme,"To improve governance and accountability in Education, Health and Social Protection sectors and contribute to policy and research.",2120108.84,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14133,Anti Corruption Evidence ' ACE' Programme,"The Anti-Corruption Evidence (ACE) programme will deliver new, practical research on 'what works' to tackle corruption in developing countries. Uptake of this new research by DFID and its partners will mean mean that anti-corruption initiatives are more effective and so corruption and leakage are measurably reduced. ACE will focus in 3-4 DFID priority countries drawn from a short list including Ghana, Uganda, Tanzania, Mozambique and Nigeria; and Bangladesh.",2113524.91,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14134,M4D - Mobile for Development Strategic Partnership,"To work jointly with the industry group representing mobile phone operators worldwide, the GSMA, and its subsidiary Mobile for Development, to identify and support the development and use of new, innovative ways in which mobile phone technologies and mobile network infrastructure can be used to improve the reach, delivery and affordability of life-enhancing services to poor people in Africa and Asia. As a result of this work some 14 million poor people are expected to benefit from improved access to life enhancing services by 2020.",0.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14135,HiFi - Harnessing Innovation for Financial Inclusion,"To provide access to poor people to a broad range of financial services such as payments, savings, loans, and insurance by continuing to support piloting new ideas and approaches, and to support technical assistance regulators and commercial players for enhancing industry knowledge and practice about business models, pricing and design of financial products. Access to these services enables consumers to acquire productive assets, invest in health and education and make other purchases that enrich their lives.",1637.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14136,Pathways to Prosperity for Extremely Poor People in Bangladesh (PPEPP),Pathways to Prosperity for Extremely Poor People in Bangladesh- RDEL,2700000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14137,Comic Relief Red Nose Day 2013  improving the lives of women and girls in sub-Saharan Africa,"Targeted women and girls benefit from improvements in one or more of the following five areas: health, education, agriculture/trade, leadership and advocacy for women's rights and violence against women and girls.",1801887.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14138,Humanitarian Assistance and Resilience in South Sudan (HARISS) 2015 - 2024,"To help approximately three million South Sudanese by providing critical life-saving support and helping people to better cope with shocks from conflict, drought and flooding. This programme aims to save the lives of an estimated two million people who will receive at least one form of humanitarian assistance; and build the capacity of an estimated one million people to recover and cope better with shocks.  Over six years this programme will provide food, shelter and access to water and health services to millions of vulnerable people, including women and children.",19944468.69,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14139,Supporting Structural Reform in the Indian Power Sector,"In line with the UK governments aid policy and new development partnership with India, the Supporting Structural Reform in the Indian Power Sector programme will improve the efficiency, reliability and sustainability of electricity supply in India through technical expertise, not through traditional grant support. It will provide world class expertise to support the market reforms and scale up of renewable energy supply that the Indian power sector needs to support growth and create jobs. It will work at the Central level and in upto three States which may include DFID focus states such as Odisha, Andhra Pradesh and Madhya Pradesh.",-5095.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14140,UK Collaborative on Development Sciences (UKCDS) Phase 2,UK Collaborative on Development Research (UKCDR) Phase 3 - core funding for staff and activities,264573.09,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14141,Capacity for Economic Research and Policy making in Africa (CERPA),"To increase the  number and quality of MSc and Phd Economics graduates in developing countries involved in research and policy activities,  and to improve ability of developing country researchers to undertake high quality economic research. This will enable developing countries to manage their economies better, which should help them to  achieve higher economic growth.",1200000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14143,Myanmar UK Partnership for Education,"MUPE is to improve the reach and quality of education services in Burma and help prepare Burmas youth with the skills they need for life after school with the focus on English language, teacher education, examination systems, and education in protracted crises where the UK has a particular comparative advantage.  The programme aims to reach up to 51,000 teacher educators, teacher trainees and teachers.  Through Education Reform Facility, it intends to support priority reforms on assessment and examination in Burmas National Education Strategic Plan (NESP) with impact on 9 million children of which support for up to 73,000 will be attributable to FCDO.  And it aims to support improved schooling in conflict-affected and ethnic areas to help 460,000 children in conflict-affected areas access better quality education, of which up to 46,000 attributable to FCDO.",1200000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14144,Excluded People's Rights in Bangladesh,"To promote rights and equality for 1.64 million people in Bangladesh who are at the highest risk of being excluded, including poor women and girls, people with disabilities, ethnic and religious minorities, Dalits (untouchables), children working in vulnerable situations (including modern slavery) and youth. The programme will increasingly focus on social cohesion. The partner supports a network of organisations to defend and enhance poor, minorities and other marginalised peoples rights and enabling them to access to assets, public services (e.g. health, education) and economic opportunities. The programme also works with local level service providers to help them meet their responsibilities and assist communities to monitor their performance. Where opportunities arise, the programme will contribute to the development of policies and laws that uphold the rights of the poor and excluded groups in society. FCDO's flagship rights programme.",2450000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14145,Burma Humanitarian Assistance and Resilience Programme,"To save lives, reduce poverty and suffering of 400,000 crisis affected people in Burma and Burmese refugees in Thailand through providing humanitarian assistance, enhancing resilience and building local and international organisations capacity to respond to future humanitarian need in Burma",2154330.67,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
"Foreign, Commonwealth & Development Office","Foreign, Commonwealth & Development Office",G2-SCH-2024-02-14146,J-PAL Education Initiative,"The JPAL Education and Government Initiative delivers the highest standards of quantitative research applied to critical policy questions on education. Researchers partner with education practitioners and governments to test, adapt and scale a wide range of promising interventions including returns to girls for completing school, digital support to secondary school teaching, and innovations in skills training for employability. Cost data is collected throughout, supporting evidence-based investment and dis-investment decisions by donors and country governments. JPAL is building the evidence base on interventions to support marginalised children following Covid-19 school closures, and directly responds to the manifesto commitment on girls' education.",144625.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Foreign aid,International Development Act 2002
